,Open,High,Low,Close,Adj Close,Volume
2021-01-22 09:00:00+01:00,52.0,52.0,51.0,51.0,51.0,0
2021-01-22 10:00:00+01:00,52.0,52.0,50.0,50.0,50.0,11200
2021-01-22 11:00:00+01:00,50.5,51.5,50.5,51.5,51.5,15794
2021-01-22 13:00:00+01:00,51.0,51.5,51.0,51.5,51.5,401
2021-01-22 15:00:00+01:00,50.5,50.5,50.0,50.0,50.0,5750
2021-01-22 16:00:00+01:00,50.0,51.0,50.0,51.0,51.0,201
2021-01-25 09:00:00+01:00,51.0,51.0,51.0,51.0,51.0,0
2021-01-25 10:00:00+01:00,50.0,50.0,48.400001525878906,49.0,49.0,66699
2021-01-25 11:00:00+01:00,49.20000076293945,49.599998474121094,49.20000076293945,49.599998474121094,49.599998474121094,1484
2021-01-25 12:00:00+01:00,50.0,50.0,50.0,50.0,50.0,816
2021-01-25 13:00:00+01:00,50.5,50.5,50.5,50.5,50.5,110
2021-01-25 14:00:00+01:00,50.5,50.5,49.0,49.0,49.0,5110
2021-01-25 15:00:00+01:00,49.400001525878906,49.79999923706055,49.400001525878906,49.79999923706055,49.79999923706055,2125
2021-01-25 16:00:00+01:00,50.0,50.5,50.0,50.5,50.5,3417
2021-01-26 09:00:00+01:00,51.0,51.0,50.0,50.0,50.0,0
2021-01-26 10:00:00+01:00,50.0,50.0,50.0,50.0,50.0,1726
2021-01-26 12:00:00+01:00,50.5,50.5,49.79999923706055,50.5,50.5,3702
2021-01-26 14:00:00+01:00,50.0,50.0,50.0,50.0,50.0,2950
2021-01-26 15:00:00+01:00,50.5,50.5,49.79999923706055,49.79999923706055,49.79999923706055,272
2021-01-26 16:00:00+01:00,50.5,51.0,50.5,51.0,51.0,1799
2021-01-27 09:00:00+01:00,51.0,54.5,51.0,54.5,54.5,0
2021-01-27 12:00:00+01:00,50.0,52.0,50.0,52.0,52.0,201
2021-01-27 13:00:00+01:00,50.0,50.0,50.0,50.0,50.0,200
2021-01-27 14:00:00+01:00,49.400001525878906,49.400001525878906,49.0,49.0,49.0,2299
2021-01-27 15:00:00+01:00,51.0,51.0,50.0,50.0,50.0,201
2021-01-28 10:00:00+01:00,50.0,50.0,48.0,48.79999923706055,48.79999923706055,7201
2021-01-28 11:00:00+01:00,48.79999923706055,48.79999923706055,48.79999923706055,48.79999923706055,48.79999923706055,1320
2021-01-28 12:00:00+01:00,48.79999923706055,49.599998474121094,48.79999923706055,49.599998474121094,49.599998474121094,1100
2021-01-28 14:00:00+01:00,48.20000076293945,51.5,48.0,51.5,51.5,3846
2021-01-28 15:00:00+01:00,49.79999923706055,51.0,49.20000076293945,51.0,51.0,3803
2021-01-28 16:00:00+01:00,51.0,52.0,48.0,51.5,51.5,9375
2021-01-29 09:00:00+01:00,50.5,50.5,50.5,50.5,50.5,0
2021-01-29 10:00:00+01:00,51.5,53.0,51.5,52.5,52.5,9479
2021-01-29 11:00:00+01:00,52.5,54.0,52.5,54.0,54.0,4321
2021-01-29 12:00:00+01:00,53.5,53.5,53.5,53.5,53.5,19
2021-01-29 13:00:00+01:00,53.5,55.0,53.5,55.0,55.0,5300
2021-01-29 14:00:00+01:00,54.5,57.5,54.0,55.0,55.0,3764
2021-01-29 15:00:00+01:00,57.0,57.0,57.0,57.0,57.0,493
2021-01-29 16:00:00+01:00,57.0,58.0,57.0,58.0,58.0,1027
2021-02-01 09:00:00+01:00,56.0,59.5,52.0,59.5,59.5,0
2021-02-01 10:00:00+01:00,60.0,60.0,59.5,60.0,60.0,337
2021-02-01 12:00:00+01:00,59.5,59.5,59.5,59.5,59.5,1099
2021-02-01 13:00:00+01:00,60.0,60.0,60.0,60.0,60.0,4090
